#   z            H/c (1/Mpc)           D_A(Mpc)        D_L(Mpc)  d_comoving(Mpc)     Omega_m(z)      c*Age(Mpc) 
   0.1855877E-03   0.2245847E-03   0.8262455E+00   0.8265522E+00   0.8263988E+00   0.3241348E+00   0.4192490E+04
   0.9955161E-01   0.2363093E-03   0.3932156E+03   0.4754031E+03   0.4323609E+03   0.2203531E+00   0.3780981E+04
   0.9250142E-01   0.2354241E-03   0.3683933E+03   0.4396992E+03   0.4024702E+03   0.2263391E+00   0.3808253E+04
   0.1721865E-01   0.2264790E-03   0.7505973E+02   0.7766684E+02   0.7635216E+02   0.3029904E+00   0.4117613E+04
   0.6695554E-01   0.2322846E-03   0.2748249E+03   0.3128591E+03   0.2932260E+03   0.2496019E+00   0.3909438E+04
   0.9997900E-01   0.2363632E-03   0.3947069E+03   0.4775771E+03   0.4341693E+03   0.2199959E+00   0.3779337E+04
   0.8469883E-01   0.2344539E-03   0.3404252E+03   0.4005347E+03   0.3692589E+03   0.2331767E+00   0.3838762E+04
   0.6645082E-01   0.2322236E-03   0.2729173E+03   0.3103936E+03   0.2910529E+03   0.2500877E+00   0.3911475E+04
   0.9434553E-01   0.2356549E-03   0.3749268E+03   0.4490094E+03   0.4102995E+03   0.2247560E+00   0.3801093E+04
   0.6962907E-01   0.2326082E-03   0.2848910E+03   0.3259456E+03   0.3047277E+03   0.2470461E+00   0.3898671E+04
   0.7327518E-01   0.2330514E-03   0.2985140E+03   0.3438641E+03   0.3203877E+03   0.2436078E+00   0.3884056E+04
   0.6450732E-01   0.2319893E-03   0.2655496E+03   0.3009144E+03   0.2826795E+03   0.2519682E+00   0.3919334E+04
   0.7673469E-01   0.2334739E-03   0.3113289E+03   0.3609416E+03   0.3352187E+03   0.2403948E+00   0.3870260E+04
   0.1225835E-01   0.2259224E-03   0.5376429E+02   0.5509049E+02   0.5442335E+02   0.3089833E+00   0.4139224E+04
   0.2167041E-01   0.2269820E-03   0.9395084E+02   0.9806686E+02   0.9598679E+02   0.2977229E+00   0.4098353E+04
   0.5727225E-01   0.2311224E-03   0.2378138E+03   0.2658341E+03   0.2514339E+03   0.2591093E+00   0.3948786E+04
   0.3593748E-01   0.2286162E-03   0.1531153E+03   0.1643182E+03   0.1586179E+03   0.2815225E+00   0.4037474E+04
   0.2403180E-01   0.2272502E-03   0.1038875E+03   0.1089407E+03   0.1063841E+03   0.2949707E+00   0.4088188E+04
   0.7775221E-01   0.2335985E-03   0.3150777E+03   0.3659784E+03   0.3395757E+03   0.2394588E+00   0.3866215E+04
   0.3292167E-01   0.2282679E-03   0.1407815E+03   0.1502036E+03   0.1454162E+03   0.2848628E+00   0.4050236E+04
   0.8932311E-01   0.2350277E-03   0.3570643E+03   0.4237014E+03   0.3889584E+03   0.2290969E+00   0.3820639E+04
   0.6353506E-01   0.2318723E-03   0.2618508E+03   0.2961812E+03   0.2784875E+03   0.2529149E+00   0.3923274E+04
   0.9581771E-01   0.2358395E-03   0.3801218E+03   0.4564565E+03   0.4165442E+03   0.2235011E+00   0.3795390E+04
   0.7837600E-01   0.2336750E-03   0.3173713E+03   0.3690694E+03   0.3422456E+03   0.2388870E+00   0.3863738E+04
   0.6250150E-01   0.2317481E-03   0.2579091E+03   0.2911561E+03   0.2740288E+03   0.2539256E+00   0.3927468E+04
   0.8692946E-01   0.2347303E-03   0.3484747E+03   0.4116935E+03   0.3787674E+03   0.2311986E+00   0.3830004E+04
   0.9980683E-01   0.2363415E-03   0.3941063E+03   0.4767012E+03   0.4334408E+03   0.2201397E+00   0.3779999E+04
   0.2102611E-01   0.2269090E-03   0.9122957E+02   0.9510631E+02   0.9314777E+02   0.2984789E+00   0.4101133E+04
   0.3266480E-01   0.2282383E-03   0.1397267E+03   0.1490041E+03   0.1442909E+03   0.2851493E+00   0.4051326E+04
   0.4592478E-01   0.2297801E-03   0.1933153E+03   0.2114789E+03   0.2021932E+03   0.2707706E+00   0.3995612E+04
   0.8843340E-01   0.2349171E-03   0.3538774E+03   0.4192341E+03   0.3851720E+03   0.2298756E+00   0.3824116E+04
   0.5081881E-01   0.2303564E-03   0.2126583E+03   0.2348216E+03   0.2234653E+03   0.2656706E+00   0.3975321E+04
   0.5419391E-01   0.2307562E-03   0.2258638E+03   0.2510081E+03   0.2381043E+03   0.2622162E+00   0.3961412E+04
   0.1883928E-01   0.2266617E-03   0.8196094E+02   0.8507820E+02   0.8350503E+02   0.3010608E+00   0.4110587E+04
   0.2714764E-01   0.2276054E-03   0.1169106E+03   0.1233444E+03   0.1200844E+03   0.2913828E+00   0.4074830E+04
   0.5139933E-01   0.2304250E-03   0.2149374E+03   0.2376005E+03   0.2259850E+03   0.2650728E+00   0.3972924E+04
   0.1079404E-01   0.2257588E-03   0.4742761E+02   0.4845700E+02   0.4793954E+02   0.3107779E+00   0.4145634E+04
   0.3328621E-01   0.2283099E-03   0.1422772E+03   0.1519066E+03   0.1470131E+03   0.2844567E+00   0.4048691E+04
   0.8348528E-02   0.2254865E-03   0.3679342E+02   0.3741033E+02   0.3710059E+02   0.3138011E+00   0.4156370E+04
   0.4821516E-01   0.2300493E-03   0.2023965E+03   0.2223841E+03   0.2121551E+03   0.2683703E+00   0.3986098E+04
   0.3480058E-01   0.2284847E-03   0.1484764E+03   0.1589904E+03   0.1536435E+03   0.2827765E+00   0.4042279E+04
   0.7513160E-01   0.2332778E-03   0.3054041E+03   0.3530190E+03   0.3283496E+03   0.2418777E+00   0.3876644E+04
   0.8776860E-01   0.2348345E-03   0.3514916E+03   0.4158991E+03   0.3823416E+03   0.2304594E+00   0.3826717E+04
   0.1048159E-01   0.2257240E-03   0.4607254E+02   0.4704343E+02   0.4655545E+02   0.3111623E+00   0.4147003E+04
   0.2345101E-01   0.2271841E-03   0.1014489E+03   0.1062628E+03   0.1038280E+03   0.2956450E+00   0.4090685E+04
   0.9765097E-01   0.2360699E-03   0.3865653E+03   0.4657484E+03   0.4243138E+03   0.2219492E+00   0.3788306E+04
   0.7694860E-01   0.2335001E-03   0.3121178E+03   0.3619999E+03   0.3361348E+03   0.2401977E+00   0.3869409E+04
   0.4357976E-01   0.2295053E-03   0.1839645E+03   0.2003481E+03   0.1919816E+03   0.2732532E+00   0.4005386E+04
   0.5013019E-01   0.2302751E-03   0.2099506E+03   0.2315279E+03   0.2204754E+03   0.2663817E+00   0.3978167E+04
   0.9967716E-01   0.2363251E-03   0.3936538E+03   0.4760416E+03   0.4328921E+03   0.2202481E+00   0.3780498E+04
